T type,T type class,Dataset,T type sub-class,Specimen ID
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,804968066
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,808824183
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,849535368
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,861769605
Pvalb Gpr149 Islr,MGE interneuron,New Patchseq,Pvalb interneuron,825269133
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,739558698
Sncg Vip Nptx2,CGE interneuron,New Patchseq,Sncg interneuron,714485370
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,669047778
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,941868688
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,697795277
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,669072736
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,652516963
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,718188717
Sst Chrna2 Glra3,MGE interneuron,New Patchseq,Sst interneuron,673427380
Pvalb Th Sst,MGE interneuron,New Patchseq,Pvalb interneuron,657984709
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,652306478
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,740110275
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,731882356
Vip Col15a1 Pde1a,CGE interneuron,New Patchseq,Vip interneuron,743458377
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,812996960
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,640061596
Serpinf1 Aqp5 Vip,CGE interneuron,New Patchseq,Sncg interneuron,813500978
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,685624703
Sst Chrna2 Ptgdr,MGE interneuron,New Patchseq,Sst interneuron,760416458
Vip Lmo1 Fam159b,CGE interneuron,New Patchseq,Vip interneuron,700413526
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,711464852
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,689280134
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,760280955
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,740134630
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,809006343
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,688115867
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,941802910
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,853882442
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,731917470
Pvalb Reln Tac1,MGE interneuron,New Patchseq,Pvalb interneuron,766097293
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,843366621
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,746924803
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,707162377
Vip Gpc3 Slc18a3,CGE interneuron,New Patchseq,Vip interneuron,601506507
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,859621160
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,759909292
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,941794256
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,761297232
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,751199266
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,761429710
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,692821749
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,786176775
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,657983207
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,739539292
Lamp5 Fam19a1 Tmem182,CGE interneuron,New Patchseq,Lamp5 interneuron,644941196
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,861736319
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,694162255
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,763912380
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,728756295
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,898703349
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,745692039
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,746747868
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,873854264
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,652533530
Pvalb Calb1 Sst,MGE interneuron,New Patchseq,Pvalb interneuron,659012847
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,659395808
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,849607183
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,698042345
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,646805498
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,752042986
Pvalb Th Sst,MGE interneuron,New Patchseq,Pvalb interneuron,644571405
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,746200101
Pvalb Calb1 Sst,MGE interneuron,New Patchseq,Pvalb interneuron,760064682
Pvalb Gpr149 Islr,MGE interneuron,New Patchseq,Pvalb interneuron,663193112
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,702051128
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,674069192
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,667492234
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,823681740
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,669825289
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,786135798
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,821907565
Sst Tac2 Myh4,MGE interneuron,New Patchseq,Sst interneuron,740660643
Sst Chrna2 Ptgdr,MGE interneuron,New Patchseq,Sst interneuron,863585604
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,857223181
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,714936352
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,623415197
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,658012080
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,604646725
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,661492805
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,701075567
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,762590075
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,750833190
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,691685873
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,708221965
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,710920450
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,643754730
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,605160536
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,740649731
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,760268259
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,647045788
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,692083084
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,730744363
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,744476851
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,668337999
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,694419620
