T type,T type sentencecase,Specimen ID,T type class,Dataset,T type sub-class,Binary_Lamp5,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,579662957,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,590558808,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,573404307,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,580145037,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,569073509,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,579660456,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,569072334,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,571956282,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,571939040,,Old Gouwen,Vipr2,0,
Vipr2-Ires2-Cre,Vipr2-Ires2-Cre,573685602,,Old Gouwen,Vipr2,0,
Vip-Ires-Cre,Vip-Ires-Cre,591517805,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,585080288,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,524689239,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,584495731,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,582917630,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,565213849,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,584517193,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,593655447,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,501570114,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,524693113,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,569802200,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,591396115,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,591626585,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,520347870,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,501736631,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,560814288,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,594611511,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,562527850,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,575919223,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,522418855,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,569794458,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,568767467,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,591627904,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,593646143,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,560690405,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,570924514,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,515264431,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,571255047,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,560690291,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,568757860,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,593054951,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,569810649,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,570014498,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,576336240,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,571233863,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,569809287,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,523478821,,Old Gouwen,Vip,0,
Vip-Ires-Cre,Vip-Ires-Cre,562530336,,Old Gouwen,Vip,0,
