T type sub-class,T type,T type class,Specimen ID,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth
Sst interneuron,Sst Hpse Cbln4,MGE interneuron,804968066,0.382050819,0.055152216,0.869925645,5.517484576,0.824008947,0.461987494,2572.170623,-1136.544725,11.74363901,1434.299161,463.5549219,23,0.646816201,0.857987681,871,0.136298745,0.007513713,0.856187542,0,0.337403261,0.285971899,0.276558064,37.6518732,0.003430986,0.03232415,0.898609474,0.208708971,0.2605197,6,0.171992813,0.202951563,68,6,0,0,1,0.408671587,0.389760148,0.666666667,0,0.166666667,0.166666667,3.052729021,0.318821651
Sst interneuron,Sst Tac2 Tacstd2,MGE interneuron,808824183,0.370088903,0.506531266,0.848613653,55.10295213,0.642339981,0.769200215,164.9865699,709.831566,-616.2690361,-110.9830351,1065.476852,27,0.701625855,1.053838407,537,0.720221461,0,0.279778539,0,0.242499341,0.068178223,0.302372558,25.42412847,0.057242621,0.009156381,0.850528978,0.313460149,0.275514773,5,0.2148983,0.268519412,72,8,0,0.010578901,0.989421099,0.363208933,0.506905671,0.375,0,0.125,0.5,4.482979897,0.698646229
Sst interneuron,Sst Esm1,MGE interneuron,849535368,0.367511857,0.427635167,0.834275405,37.70910728,0.656182754,0.813225212,-467.3689245,19.63718133,-130.9009047,-300.203243,206.8381123,22,0.626731505,1.001861779,237,0.565881604,0,0.434118396,0.023768576,0.352387015,0.12768937,0.350021365,11.82948586,0.060638788,0.175866643,0.868973943,0.384354512,0.351746252,5,0.303027183,0.37151344,32,4,0,0.027567976,0.972432024,0.339501511,0.651435045,0.25,0,0.25,0.5,3.635611126,0.733541327
Sncg interneuron,Sncg Vip Itih5,CGE interneuron,861769605,0.34219496,0.317595107,0.740845688,23.3344021,0.512913855,0.645958122,335.7890582,-181.7432664,26.70785003,44.3548708,-344.0237339,17,0.49523338,1.368624569,209,0,0.265373504,0.734626496,0,0.191085431,0.614665016,0.533589515,11.97310642,0.021779432,0.099726487,0.724345283,0.336814608,0.254462032,5,0.263367709,0.387647019,47,5,0.031125299,0,0.968874701,0.459696728,0.245810056,0.2,0.2,0.4,0.2,4.164937928,0.251353482
Pvalb interneuron,Pvalb Gpr149 Islr,MGE interneuron,825269133,0.308837887,0.377556081,0.881947474,18.70137788,0.864708928,0.501968382,-601.9425676,-114.534017,-406.467955,-813.6775267,689.626456,25,0.591140613,0.797290221,381,0.125869703,0,0.874130297,0,0.450558718,0.07790428,0.228497335,12.77366486,0.130476109,0.140114735,0.886405161,0.45615952,0.356241988,5,0.313044072,0.345821213,34,6,0,0.177889447,0.822110553,0.315577889,0.583919598,0.333333333,0.166666667,0.166666667,0.333333333,2.708969158,0.685474957
Sst interneuron,Sst Calb2 Pdlim5,MGE interneuron,739558698,0.306031258,0.365075549,0.859644156,65.43907088,0.412832954,0.527986931,-126.032182,334.979026,-191.5679991,-212.4999353,-372.6643162,16,0.590497451,0.927726674,93,0.818487395,0,0.181512605,0.013660867,0.16302521,0.117086835,0.405683299,5.399695424,0.040014849,0.274847573,0.822193429,0.341937806,0.307924466,7,0.294437071,0.389330769,36,4,0,0.487265738,0.512734262,0.470446901,0.931763575,0.5,0.25,0.25,0,2.831326375,0.552092086
Sncg interneuron,Sncg Vip Nptx2,CGE interneuron,714485370,0.28759314,0.114045057,0.843679424,19.80717334,0.854642427,0.661201464,307.1377151,-79.17173351,152.5436089,-570.417101,486.8005842,21,0.588132413,1.227583839,311,0,0.225643769,0.774356231,0,0.315427523,0.34797891,0.827547281,18.56258772,0.035228549,0.353586756,0.85415933,0.210398996,0.457792878,5,0.408584939,0.490625791,50,4,0.008959044,0,0.991040956,0.409982935,0.252133106,0.25,0,0.5,0.25,3.317864017,0.553396378
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,669047778,0.275932566,0.231773497,0.799794739,29.83683691,0.441590489,0.573546446,-464.3281935,9.414375271,-184.2223658,-414.5621282,-143.6336837,21,0.405223058,0.880176214,117,0.194366853,0,0.805633147,0.023171057,0.320763501,0.196927374,0.446085365,6.100261338,0.024023844,0.117152072,0.870215982,0.32137907,0.383546039,7,0.292789223,0.386680542,35,7,0,0.150564002,0.849435998,0.472290338,0.703776361,0.285714286,0,0.285714286,0.428571429,2.700689864,0.721238721
Sncg interneuron,Sncg Gpr50,CGE interneuron,941868688,0.266540363,0.316296829,0.805324405,11.5190899,0.658974114,0.346652161,1004.792029,59.56797248,731.6581492,-525.2366514,-153.4338715,19,0.484086238,0.964988353,231,0,0.213599921,0.786400079,0.031525254,0.238641988,0.961100663,0.49762942,14.8611825,0.077210639,0.064078993,0.848459958,0.397654607,0.165271581,5,0.242364201,0.302498778,37,5,0.221381745,0,0.778618255,0.367624811,0.51487645,0.4,0.2,0.2,0.2,2.56845945,0.109799714
Pvalb interneuron,Pvalb Sema3e Kank4,MGE interneuron,697795277,0.258586557,0.227088201,0.881487492,14.68475825,1.111285466,0.315003272,-1748.27742,-343.717859,1472.934329,947.7365734,701.0882651,32,0.734158029,1.317926394,527,0.09974712,0.000842933,0.899409947,0.018624503,0.414105086,0.047316662,0.30613927,26.91668698,0.008436354,0.160873243,0.811920202,0.283538345,0.24448939,6,0.272943816,0.351209358,33,5,0,0,1,0.483685221,0.196417147,0,0.2,0.4,0.4,2.290958472,0.916415594
Pvalb interneuron,Pvalb Gabrg1,MGE interneuron,669072736,0.251265227,0.092182832,0.871163116,11.24769655,0.368766538,0.397889334,-754.6179965,-52.90640327,280.2489695,-20.73670527,-73.98226012,20,0.344477383,0.499096761,239,0,0,1,0.019262514,0.067093176,0.30183727,0.278914427,8.214630652,0.093710101,0.122809147,0.91079413,0.242508523,0.451366093,8,0.312528196,0.376255465,44,6,0.052967141,0.00980873,0.937224129,0.262873958,0.509073075,0.5,0,0.166666667,0.333333333,2.665877658,0.845181877
